AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
NO3,1.05,0,0,0,0,0,0,0,0
pelagic_NH4,1.05,0.002469902,0.000847725,1.002469902,0.000847725,5605.045832,195.0155065,5591.222526,194.1176579
benthic_NH4,1.05,-0.079826999,0.036580026,0.920173001,0.036580026,170.6265367,65.12252672,183.7575339,63.90994748
lg_phytoplankton,1.05,0,0,1,0,1560.383071,1.89E-11,1560.383071,1.89E-11
sm_phytoplankton,1.05,0,0,1,0,4957.843648,4.19E-11,4957.843648,4.19E-11
macroalgae_&_other,1.05,0.00E+00,0.00E+00,1,0.00E+00,2.993160008,5.82E-14,2.993160008,5.82E-14
outside-production,1.05,0.00E+00,0.00E+00,1,0.00E+00,4,0,4,0
micro-zooplankton,1.05,1.46E-18,8.17E-17,1,8.72E-17,4154.93176,1068.536424,4154.93176,1068.536424
meso-zooplankton,1.05,-8.63E-04,7.13E-04,0.9991373,7.13E-04,2238.879963,592.6194144,2240.681626,592.642402
macro-zooplankton,1.05,-0.008489591,0.006566351,0.991510409,0.006566351,158.1777405,85.41554354,159.4863558,86.05661704
eupahusiids,1.05,-0.004013432,0.002554585,0.995986568,0.002554585,1413.152288,408.3873607,1418.337561,408.3683393
gelatinous_zoop,1.05,-0.005313136,0.00629708,0.994686864,0.00629708,122.4261945,64.50823874,123.1180372,64.98906173
large_jellyfish,1.05,0.044525221,0.001657718,1.044525221,0.001657718,772.5511733,215.5985445,739.7158427,206.7189082
cepahlopods,1.05,-0.166291014,0.09843683,0.833708986,0.09843683,20.29094048,14.89830604,23.42786881,15.10832468
forage_fish,1.05,-0.149097288,9.04E-02,0.850902712,9.04E-02,129.6788675,101.2891237,145.3853294,101.1151519
juvenile_fish,1.05,-0.136176503,0.098622965,0.863823497,0.098622965,26.65655323,18.75659432,30.04758481,19.27278628
pelagic_fish_planktivore,1.05,-0.207927874,0.159755916,0.792072126,0.159755916,7.609971162,9.34943266,9.02772232,9.628653528
pelagic_fish_piscivore,1.05,-0.137991045,0.077496673,0.862008955,0.077496673,5.828933753,3.493224037,6.597225997,3.575415129
apex_predator_fish,1.05,-0.163041147,0.0804635,0.836958853,0.0804635,0.334882922,0.250144569,0.386225123,0.258592249
demersal_fish_piscivore,1.05,-0.178471578,0.090926804,0.821528422,0.090926804,1.364647265,1.05850314,1.592809477,1.093026982
demersal_fish_benthivore,1.05,-0.173453711,0.085202755,0.826546289,0.085202755,18.25935012,12.22382818,21.28155873,12.34377451
benthos_infauna,1.05,-0.000635694,0.000311941,0.999364306,0.000311941,36.16076105,14.28339149,36.18233629,14.28859015
benthos_filter_feeders,1.05,-0.043507068,0.044144684,0.956492932,0.044144684,13.05262551,6.957346433,13.58341774,7.054209811
benthos_detritovores,1.05,-0.00225091,0.002826704,0.99774909,0.002826704,12.13301225,5.15815361,12.1574371,5.160838176
benthos_epifauna,1.05,-9.70E-02,8.62E-02,0.902998908,8.62E-02,36.03815255,24.77614106,39.50885962,25.4317303
seabirds,1.05,-0.159084146,0.093556399,0.840915854,0.093556399,1.989753528,1.415549314,2.285047606,1.437794007
baleen_whales,1.05,-0.163654119,0.115301012,0.836345881,0.115301012,5.922700032,4.671153529,6.809770273,4.739024734
odontocetes,1.05,-0.166756157,0.084614575,0.833243843,0.084614575,1.269819528,1.032211945,1.46536547,1.075179782
pinnipeds,1.05,-0.158845184,0.080863406,0.841154816,0.080863406,4.048009234,2.808775336,4.660956052,2.89460934
detritus_offal,1.05,-0.158921828,0.07748142,0.841078172,0.07748142,3.921536611,3.09E+00,4.480703671,3.16E+00
fisheries,1.05,-0.158921828,0.07748142,0.841078172,0.07748142,6.005577358,4.72E+00,6.862650369,4.83E+00
pelagic_detritus,1.05,3.44E-18,1.76E-16,1,1.83E-16,1511.293168,710.4968137,1511.293168,710.4968137
