AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
NO3,1.05,0,0,0,0,0,0,0,0
pelagic_NH4,1.05,-0.00046089,0.000275448,0.99953911,0.000275448,3289.78969,480.7079118,3291.276177,480.7234576
benthic_NH4,1.05,0.000723813,0.000443122,1.000723813,0.000443122,1975.129627,419.4532882,1973.755627,419.4168497
phytoplankton,1.05,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.05,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
macroalgae_other,1.05,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
microbe,1.05,-2.93E-05,0.000101903,0.999970706,0.000101903,1442.830888,586.4243324,1442.871025,586.4360943
micro_zooplankton,1.05,-5.73E-05,1.02E-04,0.999942685,1.02E-04,1399.64242,803.8213541,1399.708761,803.840665
meso_zooplankton,1.05,-1.50E-04,1.92E-04,0.999849811,1.92E-04,5145.241218,803.460729,5145.935328,803.2003794
macro_zooplankton,1.05,-0.004334489,0.003977023,0.995665511,0.003977023,55.86904602,18.4754286,56.12382074,18.59171186
eupahusiids,1.05,-0.00100519,0.001378658,0.99899481,0.001378658,23.06879282,14.092772,23.0865655,14.09379831
gelatinous_zoop,1.05,-0.003857733,0.003554702,0.996142267,0.003554702,240.9659752,123.8597776,241.7960124,123.9773978
large_jellyfish,1.05,0.048882969,0.001182002,1.048882969,0.001182002,162.0890253,69.23111909,154.5383302,66.01635227
gulf_menhaden,1.05,-0.003612153,0.003202913,0.996387847,0.003202913,704.4103064,361.0998157,706.4577296,361.1212632
forage_fish,1.05,-0.009389657,6.48E-03,0.990610343,6.48E-03,91.20734674,46.80779541,92.09096738,47.23935341
pelagic_fish_planktivore,1.05,-0.006243175,0.003801845,0.993756825,0.003801845,255.9516141,77.18151504,257.479067,77.47823715
demersal_fish_piscivore,1.05,-0.003421899,0.002431067,0.996578101,0.002431067,8.64351189,2.740365651,8.673111889,2.748601651
demersal_fish_benthivore,1.05,-0.0046736,0.003287135,0.9953264,0.003287135,145.5365649,39.52043016,146.2283101,39.73715399
pelagic_fish_apex_predator,1.05,-0.005556195,0.002918481,0.994443805,0.002918481,3.79507471,1.478777992,3.815147456,1.483397213
pelagic_fish_piscivore,1.05,-0.007338991,0.003755147,0.992661009,0.003755147,25.90601207,7.898184212,26.09034044,7.925384366
cepahlopods,1.05,-0.028324738,0.017961009,0.971675262,0.017961009,26.16344532,9.296647827,26.86065739,9.368870188
benthos_epifauna,1.05,-0.000717131,0.000782659,0.999282869,0.000782659,116.3524961,40.04493348,116.4295319,40.05264447
benthos_filter_feeders,1.05,-0.000131961,0.000310435,0.999868039,0.000310435,392.1462713,183.0293402,392.2103859,183.1136223
benthos_infauna,1.05,-0.000278983,0.000478072,0.999721017,0.000478072,105.9007369,47.51610213,105.9374784,47.59256127
seabirds,1.05,-0.005549844,0.003514301,0.994450156,0.003514301,0.065431214,0.031040987,0.065782148,0.031180238
turtle,1.05,-0.011379459,0.031235809,0.988620541,0.031235809,0.007366573,0.004348368,0.007411844,0.004272574
odontocetes,1.05,-0.016609116,0.00951473,0.983390884,0.00951473,0.504627139,0.299789683,0.513426597,0.305648213
baleen_whales,1.05,-0.0732888,0.076947912,0.9267112,0.076947912,0.000138196,8.62E-05,0.000147937,8.85E-05
fish_eggs,1.05,-0.004801611,0.002632955,0.995198389,0.002632955,5.96193371,1.530262373,5.989398591,1.531216769
detritus_offal,1.05,-0.003709285,0.003003741,0.996290715,0.003003741,0.819442171,0.741905984,0.82187267,0.743135754
fisheries,1.05,-0.003709285,0.003003741,0.996290715,0.003003741,3.799270627,2.574653302,3.810652448,2.578020199
pelagic_detritus,1.05,-1.05E-04,1.27E-04,0.999894665,1.27E-04,1280.603948,247.9982973,1280.736781,248.0074371
