AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
NO3,1.05,0,0,0,0,0,0,0,0
pelagic_NH4,1.05,0.000312758,0.000221311,1.000312758,0.000221311,3292.275952,480.6680777,3291.276177,480.7234576
benthic_NH4,1.05,-0.000416236,0.000271931,0.999583764,0.000271931,1972.959177,419.3645242,1973.755627,419.4168497
phytoplankton,1.05,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.05,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
macroalgae_other,1.05,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
microbe,1.05,-0.00013542,0.000100169,0.99986458,0.000100169,1442.694844,586.4101299,1442.871025,586.4360943
micro_zooplankton,1.05,-5.20E-05,6.19E-05,0.999948009,6.19E-05,1399.651609,803.8275479,1399.708761,803.840665
meso_zooplankton,1.05,-3.81E-05,2.79E-05,0.99996188,2.79E-05,5145.746654,803.2080367,5145.935328,803.2003794
macro_zooplankton,1.05,-0.003433787,0.002784693,0.996566213,0.002784693,55.91909422,18.48311919,56.12382074,18.59171186
eupahusiids,1.05,-0.000729912,0.001063857,0.999270088,0.001063857,23.07409153,14.09338019,23.0865655,14.09379831
gelatinous_zoop,1.05,-0.002257677,0.002385497,0.997742323,0.002385497,241.3075931,123.9026368,241.7960124,123.9773978
large_jellyfish,1.05,-0.0053129,0.003805852,0.9946871,0.003805852,153.7081515,65.67423243,154.5383302,66.01635227
gulf_menhaden,1.05,-0.002232164,0.002008892,0.997767836,0.002008892,705.1880984,361.1621807,706.4577296,361.1212632
forage_fish,1.05,0.049838417,9.47E-05,1.049838417,9.47E-05,96.68046359,49.59210892,92.09096738,47.23935341
pelagic_fish_planktivore,1.05,-0.002683313,0.00222141,0.997316687,0.00222141,256.7850105,77.23620984,257.479067,77.47823715
demersal_fish_piscivore,1.05,-0.003897976,0.002546431,0.996102024,0.002546431,8.63814283,2.734045388,8.673111889,2.748601651
demersal_fish_benthivore,1.05,-0.003809437,0.002192903,0.996190563,0.002192903,145.6591498,39.54804306,146.2283101,39.73715399
pelagic_fish_apex_predator,1.05,-0.001968309,0.002843361,0.998031691,0.002843361,3.806081742,1.475088537,3.815147456,1.483397213
pelagic_fish_piscivore,1.05,0.004336669,0.004889185,1.004336669,0.004889185,26.19226462,7.911301515,26.09034044,7.925384366
cepahlopods,1.05,-0.004755414,0.003223708,0.995244586,0.003223708,26.72683988,9.300200096,26.86065739,9.368870188
benthos_epifauna,1.05,-0.001047426,0.00065998,0.998952574,0.00065998,116.3129271,40.02591094,116.4295319,40.05264447
benthos_filter_feeders,1.05,-0.000121767,0.000112167,0.999878233,0.000112167,392.1670899,183.1063735,392.2103859,183.1136223
benthos_infauna,1.05,-0.000350241,0.000230539,0.999649759,0.000230539,105.9000606,47.57725248,105.9374784,47.59256127
seabirds,1.05,0.008574199,0.008979156,1.008574199,0.008979156,0.066374889,0.031613109,0.065782148,0.031180238
turtle,1.05,-0.002692962,0.002316687,0.997307038,0.002316687,0.007392593,0.004260916,0.007411844,0.004272574
odontocetes,1.05,-0.002458871,0.002691007,0.997541129,0.002691007,0.511906759,0.304294365,0.513426597,0.305648213
baleen_whales,1.05,-0.001198179,0.002970943,0.998801821,0.002970943,0.000147717,8.83E-05,0.000147937,8.85E-05
fish_eggs,1.05,-0.000820935,0.000759718,0.999179065,0.000759718,5.984443871,1.530611163,5.989398591,1.531216769
detritus_offal,1.05,-0.002365921,0.001932191,0.997634079,0.001932191,0.820270953,0.742433833,0.82187267,0.743135754
fisheries,1.05,-0.002365921,0.001932191,0.997634079,0.001932191,3.803280708,2.576278066,3.810652448,2.578020199
pelagic_detritus,1.05,-8.73E-05,8.62E-05,0.999912659,8.62E-05,1280.624566,247.9852861,1280.736781,248.0074371
benthic_detritus,1.05,-4.57E-05,7.46E-05,0.99995432,7.46E-05,561.9869121,72.21484502,562.0125949,72.21826325
NO3,1.1,0,0,0,0,0,0,0,0
pelagic_NH4,1.1,0.000625376,0.000442521,1.000625376,0.000442521,3293.275283,480.6136568,3291.276177,480.7234576
benthic_NH4,1.1,-0.000832288,0.000543722,0.999167712,0.000543722,1972.163076,419.3127908,1973.755627,419.4168497
phytoplankton,1.1,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.1,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
macroalgae_other,1.1,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
microbe,1.1,-0.000270812,0.000200309,0.999729188,0.000200309,1442.518699,586.3841919,1442.871025,586.4360943
micro_zooplankton,1.1,-0.000103972,0.000123726,0.999896028,0.000123726,1399.59447,803.8144363,1399.708761,803.840665
meso_zooplankton,1.1,-7.62E-05,5.58E-05,0.999923768,5.58E-05,5145.558015,803.215717,5145.935328,803.2003794
macro_zooplankton,1.1,-0.006866619,0.00556882,0.993133381,0.00556882,55.71442125,18.37663469,56.12382074,18.59171186
eupahusiids,1.1,-0.001459751,0.002127589,0.998540249,0.002127589,23.06161887,14.09297598,23.0865655,14.09379831
gelatinous_zoop,1.1,-0.004515014,0.004770712,0.995484986,0.004770712,240.8192447,123.8301432,241.7960124,123.9773978
large_jellyfish,1.1,-0.01062422,0.007610565,0.98937578,0.007610565,152.8781699,65.33881698,154.5383302,66.01635227
gulf_menhaden,1.1,-0.004464163,0.004017644,0.995535837,0.004017644,703.9185615,361.2055406,706.4577296,361.1212632
forage_fish,1.1,0.099661489,0.000198425,1.099661489,0.000198425,101.2685305,51.94399223,92.09096738,47.23935341
pelagic_fish_planktivore,1.1,-0.005365659,0.004442176,0.994634341,0.004442176,256.0911852,76.99888284,257.479067,77.47823715
demersal_fish_piscivore,1.1,-0.007791982,0.005088673,0.992208018,0.005088673,8.60320968,2.719736009,8.673111889,2.748601651
demersal_fish_benthivore,1.1,-0.007614982,0.00438336,0.992385018,0.00438336,145.0905425,39.36203839,146.2283101,39.73715399
pelagic_fish_apex_predator,1.1,-0.003932971,0.005681948,0.996067029,0.005681948,3.797031781,1.46693332,3.815147456,1.483397213
pelagic_fish_piscivore,1.1,0.008673977,0.009776252,1.008673977,0.009776252,26.2942159,7.899246048,26.09034044,7.925384366
cepahlopods,1.1,-0.009508104,0.006445541,0.990491896,0.006445541,26.59309484,9.232906162,26.86065739,9.368870188
