AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
NO3,1.05,0,0,0,0,0,0,0,0
pelagic_NH4,1.05,-0.00042364,0.000210379,0.99957636,0.000210379,3802.582069,417.3996143,3804.15788,417.2685096
benthic_NH4,1.05,2.21E-05,0.000249291,1.000022137,0.000249291,1642.716844,328.3225893,1642.694366,328.398786
lg_phytoplankton,1.05,0,0,1,0,7511.602896,1.78E-10,7511.602896,1.78E-10
sm_phytoplankton,1.05,0,0,1,0,1022.827288,9.90E-12,1022.827288,9.90E-12
micro-zooplankton,1.05,-1.91E-04,1.49E-04,0.999809149,1.49E-04,4283.410099,1.32E+03,4284.182856,1.32E+03
meso-zooplankton,1.05,-6.82E-05,7.00E-05,0.999931812,7.00E-05,2545.774448,853.8775358,2545.927923,853.8679299
macro-zooplankton,1.05,-8.17E-03,4.53E-03,0.99183408,4.53E-03,450.5653938,183.6212365,453.9173248,184.0760253
eupahusiids,1.05,-1.25E-03,1.39E-03,0.998746788,1.39E-03,877.943709,397.8662293,878.8370347,397.8637248
gelatinous_zoop,1.05,-0.004242786,0.003059323,0.995757214,0.003059323,503.2562497,240.9626016,505.1274336,241.1423447
large_jellyfish,1.05,0.048144998,0.0006833,1.048144998,0.0006833,197.7431788,79.46291213,188.6746153,75.84627863
cepahlopods,1.05,-0.011900736,0.007652982,0.988099264,0.007652982,26.98218575,12.9530182,27.27857146,13.02609029
forage_fish,1.05,-0.008637128,0.005315211,0.991362872,0.005315211,151.5763772,65.0704732,152.7771205,65.2790529
juvenile_fish,1.05,-0.016057886,0.00851959,0.983942114,0.00851959,51.65757852,26.21009251,52.46847812,26.53292767
pelagic_fish_planktivore,1.05,-0.012700698,9.98E-03,0.987299302,9.98E-03,10.21071947,6.057268706,10.31350985,6.069933853
pelagic_fish_piscivore,1.05,-0.007357301,0.005383024,0.992642699,0.005383024,111.8661267,42.66828273,112.6195137,42.73921954
pelagic_fish_apex_predator,1.05,-0.008352618,0.004817629,0.991647382,0.004817629,0.155313004,0.096948556,0.156515651,0.097456555
demersal_fish_piscivore,1.05,-0.002366201,0.001836095,0.997633799,0.001836095,54.33588479,37.05738088,54.43458126,37.09701266
demersal_fish_benthivore,1.05,-0.005056324,0.003254414,0.994943676,0.003254414,18.56541385,6.775643468,18.65539892,6.795824942
