AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
NO3,1.05,0,0,0,0,0,0,0,0
pelagicNH4,1.05,-0.001113443,0.000691743,0.998886557,0.000691743,6235.971805,617.7709589,6242.703783,616.3012919
benthicNH4,1.05,0.003773005,0.00197889,1.003773005,0.00197889,895.0910148,257.1056266,891.7739353,256.3127934
lg_phytoplankton,1.05,0,0,1,0,8078.9745,2.15E-10,8078.9745,2.15E-10
sm_phytoplankton,1.05,0,0,1,0,3263.49,7.46E-11,3263.49,7.46E-11
microZoop,1.05,6.34E-05,5.69E-05,1.000063382,5.69E-05,5075.003601,1.13E+03,5074.712771,1.13E+03
mesoZoop,1.05,3.97E-06,3.29E-06,1.00000397,3.29E-06,2698.195229,971.0928476,2698.185147,971.0904056
macroZoop,1.05,7.76E-06,9.88E-06,1.000007762,9.88E-06,1199.413098,530.1622053,1199.405317,530.1613163
gelatinousZoop,1.05,-2.69E-02,2.93E-02,0.973082629,2.93E-02,0.017815412,0.01340642,0.018369378,0.013869829
jellyfish,1.05,0.048928626,0.001686936,1.048928626,0.001686936,382.4317851,206.2043881,364.4933266,196.4193074
macrobenthos,1.05,0.001095898,0.000800344,1.001095898,0.000800344,14.15611302,17.58130251,14.14050134,17.56034401
forage_fish,1.05,-0.00927896,0.007595818,0.99072104,0.007595818,1428.075416,586.9308915,1438.951543,586.5548569
mesopelagic,1.05,-0.01492404,0.012282771,0.98507596,0.012282771,169.7392258,85.87688809,172.1428689,86.6667051
cephalopods,1.05,-0.012162737,0.008687343,0.987837263,0.008687343,35.10156972,25.05267467,35.49804108,25.28956206
pelagicFishPlanktivore,1.05,-0.017988194,2.03E-02,0.982011806,2.03E-02,122.53005,72.28298714,124.8972703,73.6880428
pelagicFishPiscivore,1.05,-0.010745922,0.006978715,0.989254078,0.006978715,131.0667152,69.81625874,132.3813448,70.25997706
demersalFishPiscivore,1.05,-0.011238292,0.008590468,0.988761708,0.008590468,25.21342237,10.2713042,25.47973901,10.32246111
demersalFishBenthivore,1.05,-0.011351408,0.015859063,0.988648592,0.015859063,93.95583266,44.60218104,95.06010572,45.08407423
pelagicFishApexPred,1.05,-0.010337699,0.006288593,0.989662301,0.006288593,0.158115891,0.109847022,0.159640314,0.110636538
seabirds,1.05,-0.010553506,0.009086613,0.989446494,0.009086613,3.452045402,2.525596293,3.48130731,2.536373638
odontocetes,1.05,-0.010242213,0.008094295,0.989757787,0.008094295,4.464990896,2.180423407,4.507419244,2.190963303
turtle,1.05,0.029192841,0.018645097,1.029192841,0.018645097,0.001213919,0.001210937,0.001175351,0.001168638
detritusOffal,1.05,-0.00927896,0.007595818,0.99072104,0.007595818,570.363133,263.3512736,574.7016749,263.599928
fisheries,1.05,-0.009932281,0.007264415,0.990067719,0.007264415,40.67467276,17.904853,41.02754063,17.93291297
pelagic detritus,1.05,5.14E-05,4.45E-05,1.000051397,4.45E-05,2368.012785,674.3177738,2367.899206,674.3131049
benthic detritus,1.05,0.001095898,0.000800344,1.001095898,0.000800344,376.8900286,64.89802793,376.4783443,64.8256998
NO3,1.1,0,0,0,0,0,0,0,0
pelagicNH4,1.1,-0.002206538,0.001381202,0.997793462,0.001381202,6229.367543,619.2786942,6242.703783,616.3012919
benthicNH4,1.1,0.007454205,0.003930401,1.007454205,0.003930401,898.3345629,257.9164369,891.7739353,256.3127934
lg_phytoplankton,1.1,0,0,1,0,8078.9745,2.15E-10,8078.9745,2.15E-10
sm_phytoplankton,1.1,0,0,1,0,3263.49,7.46E-11,3263.49,7.46E-11
microZoop,1.1,0.000125676,0.000112922,1.000125676,0.000112922,5075.288884,1130.299102,5074.712771,1130.412196
mesoZoop,1.1,7.85E-06,6.48E-06,1.000007852,6.48E-06,2698.205114,971.0953089,2698.185147,971.0904056
macroZoop,1.1,1.54E-05,1.96E-05,1.00001538,1.96E-05,1199.420735,530.1630979,1199.405317,530.1613163
gelatinousZoop,1.1,-0.05383578,0.058669801,0.94616422,0.058669801,0.01726143,0.012999767,0.018369378,0.013869829
jellyfish,1.1,0.096531755,0.004203685,1.096531755,0.004203685,400.0153326,215.9050581,364.4933266,196.4193074
macrobenthos,1.1,0.002167875,0.001545441,1.002167875,0.001545441,14.17143565,17.60197179,14.14050134,17.56034401
forage_fish,1.1,-0.018235202,0.015020351,0.981764798,0.015020351,1417.554059,587.306532,1438.951543,586.5548569
mesopelagic,1.1,-0.029848408,0.024565786,0.970151592,0.024565786,167.3355325,85.13777443,172.1428689,86.6667051
cephalopods,1.1,-0.024316136,0.017372989,0.975683864,0.017372989,34.70529132,24.82026293,35.49804108,25.28956206
pelagicFishPlanktivore,1.1,-0.035976681,0.040570724,0.964023319,0.040570724,120.1627938,71.00008105,124.8972703,73.6880428
pelagicFishPiscivore,1.1,-0.021421701,0.013942091,0.978578299,0.013942091,129.7595225,69.38437662,132.3813448,70.25997706
demersalFishPiscivore,1.1,-0.022384149,0.017170684,0.977615851,0.017170684,24.94929544,1.02E+01,25.47973901,1.03E+01
demersalFishBenthivore,1.1,-0.022701445,0.031718434,0.977298555,0.031718434,92.8516616,44.1884396,95.06010572,45.08407423
pelagicFishApexPred,1.1,-0.02056994,0.012549964,0.97943006,0.012549964,0.1566049,0.109069546,0.159640314,0.110636538
seabirds,1.1,-0.020854169,0.018079736,0.979145831,0.018079736,3.423529666,2.515285862,3.48130731,2.536373638
odontocetes,1.1,-0.020356914,0.016160901,0.979643086,0.016160901,4.423088137,2.170511343,4.507419244,2.190963303
turtle,1.1,5.75E-02,0.037108288,1.057527311,0.037108288,0.00125161,0.001253843,0.001175351,0.001168638
detritusOffal,1.1,-0.018235202,0.015020351,0.981764798,0.015020351,566.1587997,263.1174117,574.7016749,263.599928
fisheries,1.1,-0.019634277,0.014431921,0.980365723,0.014431921,40.32982325,17.87930697,41.02754063,17.93291297
pelagic detritus,1.1,0.000101889,8.82E-05,1.000101889,8.82E-05,2368.124136,674.3216352,2367.899206,674.3131049
benthic detritus,1.1,0.002167875,0.001545441,1.002167875,0.001545441,377.2938825,6.50E+01,376.4783443,6.48E+01
NO3,1.15,0,0,0,0,0,0.00E+00,0,0.00E+00
pelagicNH4,1.15,-0.003295202,0.00207055,0.996704798,0.00207055,6222.790883,6.21E+02,6242.703783,6.16E+02
benthicNH4,1.15,1.11E-02,0.005879945,1.011115712,0.005879945,901.5625372,258.7399058,891.7739353,256.3127934
lg_phytoplankton,1.15,0,0,1,0,8078.9745,2.15E-10,8078.9745,2.15E-10
sm_phytoplankton,1.15,0,0.00E+00,1,0.00E+00,3263.49,7.46E-11,3263.49,7.46E-11
microZoop,1.15,0.000187758,0.000168947,1.000187758,0.000168947,5075.573108,1130.241888,5074.712771,1130.412196
mesoZoop,1.15,1.17E-05,9.66E-06,1.000011718,9.66E-06,2698.214963,971.0977722,2698.185147,971.0904056
macroZoop,1.15,2.30E-05,2.94E-05,1.000022969,2.94E-05,1199.428343,530.1639896,1199.405317,530.1613163
gelatinousZoop,1.15,-0.080754654,0.088005303,0.919245346,0.088005303,0.016707441,0.012655346,0.018369378,0.013869829
jellyfish,1.15,0.143850796,0.006922278,1.143850796,0.006922278,417.5230954,225.6093403,364.4933266,196.4193074
macrobenthos,1.15,0.003235661,0.002295091,1.003235661,0.002295091,14.18669956,17.62259052,14.14050134,17.56034401
forage_fish,1.15,-0.027124701,0.022423209,0.972875299,0.022423209,1407.108553,587.7360851,1438.951543,586.5548569
mesopelagic,1.15,-0.044773,0.036849049,0.955227,0.036849049,164.9318051,84.45070108,172.1428689,86.6667051
cephalopods,1.15,-0.036467422,0.026058282,0.963532578,0.026058282,34.30905083,24.59245452,35.49804108,25.28956206
pelagicFishPlanktivore,1.15,-0.053965379,0.060856539,0.946034621,0.060856539,117.7955104,69.84606469,124.8972703,73.6880428
